0;0;0;0;0;0;0;0;25;26;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;33;34;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;41;34;43;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;3;0;0
0;0;0;0;0;0;0;0;0;53;0;16;0;0;0;0;0;0;0;0;0;0;0;9;10;10;10;10;10;11;0;0
0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;16;0;17;18;18;18;18;18;19;0;0
0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0
0;0;0;0;30;0;0;0;0;53;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0
1;2;2;2;2;2;2;3;31;53;0;0;0;30;0;9;11;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0
9;10;10;10;10;10;10;20;2;2;5;2;2;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;3
9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;12;18;13;10;10;10;10;10;10;11
9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;12;18;18;19;75;9;10;10;10;10;10;10;11
9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;75;0;0;0;9;10;10;10;10;10;10;11
9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;0;0;0;0;9;10;10;10;10;10;10;11
9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;20;5;5;5;5;21;10;10;10;10;10;10;11
17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;19
