0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
0;0;0;0;0;0;4;2;2;2;5;5;6;0;0;0;0;0;0;15
0;0;0;0;0;0;17;18;18;18;18;18;19;0;0;0;0;0;0;15
2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;15
10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10;10;15
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;15
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;15
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;15
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;15
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;15
